1,0,100,100,100,100,100,100,100,100,0,0,
2,100,110,101,101,103,101,101,101,101,1000,0,
3,210,120,102,102,106,102,102,102,102,0,0,
4,331,130,103,103,109,103,103,103,103,0,0,
5,464,140,104,104,112,104,104,104,104,1001,0,
6,610,150,105,105,115,105,105,105,105,1002,0,
7,771,160,106,106,118,106,106,106,106,1003,0,
8,948,170,107,107,121,107,107,107,107,0,0,
9,1143,180,108,108,124,108,108,108,108,0,0,
10,1357,190,109,109,127,109,109,109,109,1004,0,
11,1593,200,110,110,130,110,110,110,110,0,0,
12,1853,210,111,111,133,111,111,111,111,0,0,
13,2138,220,112,112,136,112,112,112,112,0,0,
14,2452,230,113,113,139,113,113,113,113,0,0,
15,2797,240,114,114,142,114,114,114,114,1005,0,
16,3177,250,115,115,145,115,115,115,115,0,0,
17,3594,260,116,116,148,116,116,116,116,0,0,
18,4054,270,117,117,151,117,117,117,117,0,0,
19,4559,280,118,118,154,118,118,118,118,0,0,
20,5115,290,119,119,157,119,119,119,119,1006,1,
21,5727,300,120,120,160,120,120,120,120,0,1,
22,6400,310,121,121,163,121,121,121,121,0,1,
23,7140,320,122,122,166,122,122,122,122,0,1,
24,7954,330,123,123,169,123,123,123,123,0,1,
25,8849,340,124,124,172,124,124,124,124,0,1,
26,9834,350,125,125,175,125,125,125,125,0,1,
27,10918,360,126,126,178,126,126,126,126,0,1,
28,12109,370,127,127,181,127,127,127,127,0,1,
29,13420,380,128,128,184,128,128,128,128,0,1,
30,14863,390,129,129,187,129,129,129,129,0,1,
31,16449,400,130,130,190,130,130,130,130,0,1,
32,18194,410,131,131,193,131,131,131,131,0,1,
33,20113,420,132,132,196,132,132,132,132,0,1,
34,22225,430,133,133,199,133,133,133,133,0,1,
35,24547,440,134,134,202,134,134,134,134,0,1,
36,27102,450,135,135,205,135,135,135,135,0,1,
37,29912,460,136,136,208,136,136,136,136,0,1,
38,33003,470,137,137,211,137,137,137,137,0,1,
39,36404,480,138,138,214,138,138,138,138,0,1,
40,40144,490,139,139,217,139,139,139,139,0,1,
41,44259,500,140,140,220,140,140,140,140,0,1,
42,48785,510,141,141,223,141,141,141,141,0,1,
43,53763,520,142,142,226,142,142,142,142,0,1,
44,59240,530,143,143,229,143,143,143,143,0,1,
45,65264,540,144,144,232,144,144,144,144,0,1,
46,71890,550,145,145,235,145,145,145,145,0,1,
47,79179,560,146,146,238,146,146,146,146,0,1,
48,87197,570,147,147,241,147,147,147,147,0,1,
49,96017,580,148,148,244,148,148,148,148,0,1,
50,105718,590,149,149,247,149,149,149,149,0,2,
51,116390,600,150,150,250,150,150,150,150,0,2,
52,128129,610,151,151,253,151,151,151,151,0,2,
53,141042,620,152,152,256,152,152,152,152,0,2,
54,155247,630,153,153,259,153,153,153,153,0,2,
55,170871,640,154,154,262,154,154,154,154,0,2,
56,188059,650,155,155,265,155,155,155,155,0,2,
57,206965,660,156,156,268,156,156,156,156,0,2,
58,227761,670,157,157,271,157,157,157,157,0,2,
59,250637,680,158,158,274,158,158,158,158,0,2,
60,275801,690,159,159,277,159,159,159,159,0,2,
61,303481,700,160,160,280,160,160,160,160,0,2,
62,333929,710,161,161,283,161,161,161,161,0,2,
63,367422,720,162,162,286,162,162,162,162,0,2,
64,404265,730,163,163,289,163,163,163,163,0,2,
65,444791,740,164,164,292,164,164,164,164,0,2,
66,489370,750,165,165,295,165,165,165,165,0,2,
67,538407,760,166,166,298,166,166,166,166,0,2,
68,592348,770,167,167,301,167,167,167,167,0,2,
69,651683,780,168,168,304,168,168,168,168,0,2,
70,716951,790,169,169,307,169,169,169,169,0,2,
71,788746,800,170,170,310,170,170,170,170,0,2,
72,867721,810,171,171,313,171,171,171,171,0,2,
73,954593,820,172,172,316,172,172,172,172,0,2,
74,1050153,830,173,173,319,173,173,173,173,0,2,
75,1155268,840,174,174,322,174,174,174,174,0,2,
76,1270895,850,175,175,325,175,175,175,175,0,2,
77,1398084,860,176,176,328,176,176,176,176,0,2,
78,1537993,870,177,177,331,177,177,177,177,0,2,
79,1691892,880,178,178,334,178,178,178,178,0,2,
80,1861182,890,179,179,337,179,179,179,179,0,2,
81,2047400,900,180,180,340,180,180,180,180,0,2,
82,2252240,910,181,181,343,181,181,181,181,0,2,
83,2477564,920,182,182,346,182,182,182,182,0,2,
84,2725420,930,183,183,349,183,183,183,183,0,2,
85,2998062,940,184,184,352,184,184,184,184,0,2,
86,3297969,950,185,185,355,185,185,185,185,0,2,
87,3627865,960,186,186,358,186,186,186,186,0,2,
88,3990752,970,187,187,361,187,187,187,187,0,2,
89,4389927,980,188,188,364,188,188,188,188,0,2,
90,4829020,990,189,189,367,189,189,189,189,0,2,
91,5312022,1000,190,190,370,190,190,190,190,0,2,
92,5843324,1010,191,191,373,191,191,191,191,0,2,
93,6427757,1020,192,192,376,192,192,192,192,0,2,
94,7070633,1030,193,193,379,193,193,193,193,0,2,
95,7777796,1040,194,194,382,194,194,194,194,0,2,
96,8555676,1050,195,195,385,195,195,195,195,0,2,
97,9411343,1060,196,196,388,196,196,196,196,0,2,
98,10352578,1070,197,197,391,197,197,197,197,0,2,
99,11387935,1080,198,198,394,198,198,198,198,0,2,
100,12526829,1090,199,199,397,199,199,199,199,0,2,

