EquipmentLevelId,RequireExp
1,200,
2,400,
3,600,
4,800,
5,1000,
6,1200,
7,1400,
8,1600,
9,1800,
10,2000,
11,2200,
12,2400,
13,2600,
14,2800,
15,3000,
16,3200,
17,3400,
18,3600,
19,3800,
20,4000,
21,4200,
22,4400,
23,4600,
24,4800,
25,5000,
26,5200,
27,5400,
28,5600,
29,5800,
30,6000,
31,6200,
32,6400,
33,6600,
34,6800,
35,7000,
36,7200,
37,7400,
38,7600,
39,7800,
40,8000,
41,8200,
42,8400,
43,8600,
44,8800,
45,9000,
46,9200,
47,9400,
48,9600,
49,9800,
50,10000,
51,10200,
52,10400,
53,10600,
54,10800,
55,11000,
56,11200,
57,11400,
58,11600,
59,11800,
60,12000,
61,12200,
62,12400,
63,12600,
64,12800,
65,13000,
66,13200,
67,13400,
68,13600,
69,13800,
70,14000,
71,14200,
72,14400,
73,14600,
74,14800,
75,15000,
76,15200,
77,15400,
78,15600,
79,15800,
80,16000,
81,16200,
82,16400,
83,16600,
84,16800,
85,17000,
86,17200,
87,17400,
88,17600,
89,17800,
90,18000,
91,18200,
92,18400,
93,18600,
94,18800,
95,19000,
96,19200,
97,19400,
98,19600,
99,19800,
100,100000,
101,150000,
102,200000,
103,250000,
104,300000,
105,350000,
106,400000,
107,450000,
108,500000,
109,550000,
110,600000,
111,650000,
112,700000,
113,750000,
114,800000,
115,850000,
116,900000,
117,950000,
118,1000000,
119,1000000,
120,1000000,
